,Maturity,Fig,Strike,Ask_p,D2M
0,2018-12-21,GASL,1.0,0.55,28 days 00:00:00.000000000
1,2018-12-21,GASL,2.0,0.55,28 days 00:00:00.000000000
2,2018-12-21,GASL,3.0,0.55,28 days 00:00:00.000000000
3,2018-12-21,GASL,4.0,0.55,28 days 00:00:00.000000000
4,2018-12-21,GASL,5.0,0.75,28 days 00:00:00.000000000
5,2018-12-21,GASL,6.0,0.15,28 days 00:00:00.000000000
6,2018-12-21,GASL,7.0,0.25,28 days 00:00:00.000000000
7,2018-12-21,GASL,8.0,0.45,28 days 00:00:00.000000000
8,2018-12-21,GASL,9.0,0.8,28 days 00:00:00.000000000
9,2019-01-18,GASL,2.0,4.9,56 days 00:00:00.000000000
10,2019-01-18,GASL,3.0,4.9,56 days 00:00:00.000000000
11,2019-01-18,GASL,4.0,4.9,56 days 00:00:00.000000000
12,2019-01-18,GASL,5.0,4.9,56 days 00:00:00.000000000
13,2019-01-18,GASL,6.0,4.9,56 days 00:00:00.000000000
14,2019-01-18,GASL,7.0,4.9,56 days 00:00:00.000000000
15,2019-01-18,GASL,8.0,4.9,56 days 00:00:00.000000000
16,2019-01-18,GASL,9.0,1.2,56 days 00:00:00.000000000
17,2019-02-15,GASL,2.0,0.55,84 days 00:00:00.000000000
18,2019-02-15,GASL,3.0,0.75,84 days 00:00:00.000000000
19,2019-02-15,GASL,4.0,0.75,84 days 00:00:00.000000000
20,2019-02-15,GASL,5.0,0.35,84 days 00:00:00.000000000
21,2019-02-15,GASL,6.0,0.45,84 days 00:00:00.000000000
22,2019-02-15,GASL,7.0,0.7,84 days 00:00:00.000000000
23,2019-02-15,GASL,8.0,1.05,84 days 00:00:00.000000000
24,2019-02-15,GASL,9.0,1.4,84 days 00:00:00.000000000
25,2019-03-15,GASL,3.0,4.9,112 days 00:00:00.000000000
26,2019-03-15,GASL,4.0,4.9,112 days 00:00:00.000000000
27,2019-03-15,GASL,5.0,4.9,112 days 00:00:00.000000000
28,2019-03-15,GASL,6.0,4.9,112 days 00:00:00.000000000
29,2019-03-15,GASL,7.0,4.9,112 days 00:00:00.000000000
30,2019-03-15,GASL,8.0,4.9,112 days 00:00:00.000000000
31,2019-03-15,GASL,9.0,4.9,112 days 00:00:00.000000000
32,2018-12-07,OIH,5.0,0.25,14 days 00:00:00.000000000
33,2018-12-07,OIH,10.0,0.03,14 days 00:00:00.000000000
34,2018-12-07,OIH,13.5,0.03,14 days 00:00:00.000000000
35,2018-12-07,OIH,14.5,0.03,14 days 00:00:00.000000000
36,2018-12-07,OIH,15.0,0.03,14 days 00:00:00.000000000
37,2018-12-07,OIH,15.5,0.03,14 days 00:00:00.000000000
38,2018-12-07,OIH,16.0,0.05,14 days 00:00:00.000000000
39,2018-12-07,OIH,16.5,0.08,14 days 00:00:00.000000000
40,2018-12-07,OIH,17.0,0.16,14 days 00:00:00.000000000
41,2018-12-07,OIH,17.5,0.29,14 days 00:00:00.000000000
42,2018-12-07,OIH,18.0,0.48,14 days 00:00:00.000000000
43,2018-12-14,OIH,5.0,0.02,21 days 00:00:00.000000000
44,2018-12-14,OIH,10.0,0.02,21 days 00:00:00.000000000
45,2018-12-14,OIH,13.5,0.03,21 days 00:00:00.000000000
46,2018-12-14,OIH,14.0,0.03,21 days 00:00:00.000000000
47,2018-12-14,OIH,14.5,0.03,21 days 00:00:00.000000000
48,2018-12-14,OIH,15.0,0.04,21 days 00:00:00.000000000
49,2018-12-14,OIH,15.5,0.06,21 days 00:00:00.000000000
50,2018-12-14,OIH,16.0,0.1,21 days 00:00:00.000000000
51,2018-12-14,OIH,16.5,0.17,21 days 00:00:00.000000000
52,2018-12-14,OIH,17.0,0.25,21 days 00:00:00.000000000
53,2018-12-14,OIH,17.5,0.41,21 days 00:00:00.000000000
54,2018-12-14,OIH,18.0,0.61,21 days 00:00:00.000000000
55,2018-12-21,OIH,10.0,0.02,28 days 00:00:00.000000000
56,2018-12-21,OIH,12.0,0.02,28 days 00:00:00.000000000
57,2018-12-21,OIH,13.0,0.03,28 days 00:00:00.000000000
58,2018-12-21,OIH,13.5,0.03,28 days 00:00:00.000000000
59,2018-12-21,OIH,14.0,0.03,28 days 00:00:00.000000000
60,2018-12-21,OIH,14.5,0.05,28 days 00:00:00.000000000
61,2018-12-21,OIH,15.0,0.08,28 days 00:00:00.000000000
62,2018-12-21,OIH,15.5,0.12,28 days 00:00:00.000000000
63,2018-12-21,OIH,16.0,0.19,28 days 00:00:00.000000000
64,2018-12-21,OIH,16.5,0.29,28 days 00:00:00.000000000
65,2018-12-21,OIH,17.0,0.43,28 days 00:00:00.000000000
66,2018-12-21,OIH,17.5,0.62,28 days 00:00:00.000000000
67,2018-12-21,OIH,18.0,0.87,28 days 00:00:00.000000000
68,2018-12-28,OIH,5.0,0.5,35 days 00:00:00.000000000
69,2018-12-28,OIH,10.0,0.5,35 days 00:00:00.000000000
70,2018-12-28,OIH,14.0,0.5,35 days 00:00:00.000000000
71,2018-12-28,OIH,14.5,0.39,35 days 00:00:00.000000000
72,2018-12-28,OIH,15.0,0.2,35 days 00:00:00.000000000
73,2018-12-28,OIH,15.5,0.22,35 days 00:00:00.000000000
74,2018-12-28,OIH,16.0,0.23,35 days 00:00:00.000000000
75,2018-12-28,OIH,16.5,0.34,35 days 00:00:00.000000000
76,2018-12-28,OIH,17.0,0.48,35 days 00:00:00.000000000
77,2018-12-28,OIH,17.5,0.67,35 days 00:00:00.000000000
78,2018-12-28,OIH,18.0,0.92,35 days 00:00:00.000000000
79,2019-01-04,OIH,13.5,0.5,42 days 00:00:00.000000000
80,2019-01-04,OIH,14.0,0.5,42 days 00:00:00.000000000
81,2019-01-04,OIH,14.5,0.16,42 days 00:00:00.000000000
82,2019-01-04,OIH,15.0,0.14,42 days 00:00:00.000000000
83,2019-01-04,OIH,15.5,0.18,42 days 00:00:00.000000000
84,2019-01-04,OIH,16.0,0.27,42 days 00:00:00.000000000
85,2019-01-04,OIH,16.5,0.38,42 days 00:00:00.000000000
86,2019-01-04,OIH,17.0,0.53,42 days 00:00:00.000000000
87,2019-01-04,OIH,17.5,0.74,42 days 00:00:00.000000000
88,2019-01-04,OIH,18.0,0.99,42 days 00:00:00.000000000
89,2019-01-11,OIH,13.5,0.06,49 days 00:00:00.000000000
90,2019-01-11,OIH,14.0,0.08,49 days 00:00:00.000000000
91,2019-01-11,OIH,14.5,0.11,49 days 00:00:00.000000000
92,2019-01-11,OIH,15.0,0.16,49 days 00:00:00.000000000
93,2019-01-11,OIH,15.5,0.22,49 days 00:00:00.000000000
94,2019-01-11,OIH,16.0,0.32,49 days 00:00:00.000000000
95,2019-01-11,OIH,16.5,0.44,49 days 00:00:00.000000000
96,2019-01-11,OIH,17.0,0.6,49 days 00:00:00.000000000
97,2019-01-11,OIH,17.5,0.8,49 days 00:00:00.000000000
98,2019-01-11,OIH,18.0,1.04,49 days 00:00:00.000000000
99,2019-01-18,OIH,10.0,0.02,56 days 00:00:00.000000000
100,2019-01-18,OIH,11.0,0.03,56 days 00:00:00.000000000
101,2019-01-18,OIH,12.0,0.04,56 days 00:00:00.000000000
102,2019-01-18,OIH,13.0,0.04,56 days 00:00:00.000000000
103,2019-01-18,OIH,14.0,0.1,56 days 00:00:00.000000000
104,2019-01-18,OIH,15.0,0.19,56 days 00:00:00.000000000
105,2019-01-18,OIH,16.0,0.36,56 days 00:00:00.000000000
106,2019-01-18,OIH,17.0,0.66,56 days 00:00:00.000000000
107,2019-01-18,OIH,18.0,1.1,56 days 00:00:00.000000000
108,2019-04-18,OIH,9.0,0.03,146 days 00:00:00.000000000
109,2019-04-18,OIH,10.0,0.03,146 days 00:00:00.000000000
110,2019-04-18,OIH,11.0,0.05,146 days 00:00:00.000000000
111,2019-04-18,OIH,12.0,0.09,146 days 00:00:00.000000000
112,2019-04-18,OIH,13.0,0.17,146 days 00:00:00.000000000
113,2019-04-18,OIH,14.0,0.29,146 days 00:00:00.000000000
114,2019-04-18,OIH,15.0,0.47,146 days 00:00:00.000000000
115,2019-04-18,OIH,16.0,0.73,146 days 00:00:00.000000000
116,2019-04-18,OIH,17.0,1.09,146 days 00:00:00.000000000
117,2019-04-18,OIH,18.0,1.55,146 days 00:00:00.000000000
118,2018-12-18,GUSH,9.0,0.15,25 days 00:00:00.000000000
119,2018-12-21,GUSH,10.0,0.3,28 days 00:00:00.000000000
120,2018-12-21,GUSH,11.0,0.45,28 days 00:00:00.000000000
121,2018-12-21,GUSH,12.0,0.65,28 days 00:00:00.000000000
122,2018-12-21,GUSH,13.0,0.9,28 days 00:00:00.000000000
123,2018-12-21,GUSH,14.0,1.3,28 days 00:00:00.000000000
124,2018-12-21,GUSH,15.0,1.75,28 days 00:00:00.000000000
125,2019-01-18,GUSH,8.0,0.3,56 days 00:00:00.000000000
126,2019-01-18,GUSH,9.0,0.4,56 days 00:00:00.000000000
127,2019-01-18,GUSH,10.0,0.6,56 days 00:00:00.000000000
128,2019-01-18,GUSH,11.0,0.8,56 days 00:00:00.000000000
129,2019-01-18,GUSH,12.0,1.1,56 days 00:00:00.000000000
130,2019-01-18,GUSH,13.0,1.45,56 days 00:00:00.000000000
131,2019-01-18,GUSH,14.0,1.85,56 days 00:00:00.000000000
132,2019-01-18,GUSH,15.0,2.35,56 days 00:00:00.000000000
133,2019-02-15,GUSH,9.0,0.65,84 days 00:00:00.000000000
134,2019-02-15,GUSH,10.0,0.9,84 days 00:00:00.000000000
135,2019-02-15,GUSH,11.0,1.2,84 days 00:00:00.000000000
136,2019-02-15,GUSH,12.0,1.55,84 days 00:00:00.000000000
137,2019-02-15,GUSH,13.0,1.9,84 days 00:00:00.000000000
138,2019-02-15,GUSH,14.0,2.35,84 days 00:00:00.000000000
139,2019-02-15,GUSH,15.0,2.85,84 days 00:00:00.000000000
140,2019-03-15,GUSH,5.0,0.35,112 days 00:00:00.000000000
141,2019-03-15,GUSH,10.0,1.2,112 days 00:00:00.000000000
142,2019-03-15,GUSH,15.0,3.3,112 days 00:00:00.000000000
143,2019-06-21,GUSH,5.0,0.85,210 days 00:00:00.000000000
144,2019-06-21,GUSH,10.0,1.85,210 days 00:00:00.000000000
145,2019-06-21,GUSH,15.0,4.3,210 days 00:00:00.000000000
146,2020-01-17,GUSH,5.0,0.85,420 days 00:00:00.000000000
147,2020-01-17,GUSH,10.0,2.8,420 days 00:00:00.000000000
148,2020-01-17,GUSH,15.0,5.7,420 days 00:00:00.000000000
149,2021-01-15,GUSH,5.0,1.3,784 days 00:00:00.000000000
150,2021-01-15,GUSH,10.0,3.9,784 days 00:00:00.000000000
151,2021-01-15,GUSH,15.0,7.0,784 days 00:00:00.000000000
152,2018-12-21,AMZA,1.0,0.05,28 days 00:00:00.000000000
153,2018-12-21,AMZA,2.0,0.05,28 days 00:00:00.000000000
154,2018-12-21,AMZA,3.0,0.05,28 days 00:00:00.000000000
155,2018-12-21,AMZA,4.0,0.05,28 days 00:00:00.000000000
156,2018-12-21,AMZA,5.0,0.05,28 days 00:00:00.000000000
157,2018-12-21,AMZA,6.0,0.25,28 days 00:00:00.000000000
158,2019-01-18,AMZA,1.0,4.9,56 days 00:00:00.000000000
159,2019-01-18,AMZA,2.0,4.9,56 days 00:00:00.000000000
160,2019-01-18,AMZA,3.0,4.9,56 days 00:00:00.000000000
161,2019-01-18,AMZA,4.0,4.9,56 days 00:00:00.000000000
162,2019-01-18,AMZA,5.0,4.8,56 days 00:00:00.000000000
163,2019-01-18,AMZA,6.0,4.5,56 days 00:00:00.000000000
164,2019-03-15,AMZA,1.0,4.9,112 days 00:00:00.000000000
165,2019-03-15,AMZA,2.0,4.9,112 days 00:00:00.000000000
166,2019-03-15,AMZA,3.0,4.9,112 days 00:00:00.000000000
167,2019-03-15,AMZA,4.0,4.8,112 days 00:00:00.000000000
168,2019-03-15,AMZA,5.0,4.5,112 days 00:00:00.000000000
169,2019-03-15,AMZA,6.0,2.5,112 days 00:00:00.000000000
170,2018-12-07,ERX,15.0,0.2,14 days 00:00:00.000000000
171,2018-12-07,ERX,16.0,0.45,14 days 00:00:00.000000000
172,2018-12-07,ERX,16.5,0.45,14 days 00:00:00.000000000
173,2018-12-07,ERX,17.0,0.4,14 days 00:00:00.000000000
174,2018-12-07,ERX,17.5,0.15,14 days 00:00:00.000000000
175,2018-12-07,ERX,18.0,0.15,14 days 00:00:00.000000000
176,2018-12-07,ERX,19.0,0.2,14 days 00:00:00.000000000
177,2018-12-07,ERX,19.5,0.3,14 days 00:00:00.000000000
178,2018-12-07,ERX,20.0,0.3,14 days 00:00:00.000000000
179,2018-12-07,ERX,20.5,0.4,14 days 00:00:00.000000000
180,2018-12-07,ERX,21.0,0.5,14 days 00:00:00.000000000
181,2018-12-07,ERX,21.5,0.6,14 days 00:00:00.000000000
182,2018-12-07,ERX,22.0,0.75,14 days 00:00:00.000000000
183,2018-12-07,ERX,22.5,0.95,14 days 00:00:00.000000000
184,2018-12-07,ERX,23.0,1.1,14 days 00:00:00.000000000
185,2018-12-07,ERX,23.5,1.35,14 days 00:00:00.000000000
186,2018-12-14,ERX,15.0,0.2,21 days 00:00:00.000000000
187,2018-12-14,ERX,16.0,0.3,21 days 00:00:00.000000000
188,2018-12-14,ERX,16.5,0.15,21 days 00:00:00.000000000
189,2018-12-14,ERX,17.0,0.2,21 days 00:00:00.000000000
190,2018-12-14,ERX,17.5,0.2,21 days 00:00:00.000000000
191,2018-12-14,ERX,18.0,0.25,21 days 00:00:00.000000000
192,2018-12-14,ERX,19.0,0.35,21 days 00:00:00.000000000
193,2018-12-14,ERX,19.5,0.45,21 days 00:00:00.000000000
194,2018-12-14,ERX,20.0,0.5,21 days 00:00:00.000000000
195,2018-12-14,ERX,20.5,0.6,21 days 00:00:00.000000000
196,2018-12-14,ERX,21.0,0.75,21 days 00:00:00.000000000
197,2018-12-14,ERX,21.5,0.9,21 days 00:00:00.000000000
198,2018-12-14,ERX,22.0,1.05,21 days 00:00:00.000000000
199,2018-12-14,ERX,22.5,1.2,21 days 00:00:00.000000000
200,2018-12-14,ERX,23.0,1.45,21 days 00:00:00.000000000
201,2018-12-14,ERX,23.5,1.65,21 days 00:00:00.000000000
202,2018-12-21,ERX,15.0,0.15,28 days 00:00:00.000000000
203,2018-12-21,ERX,16.0,0.2,28 days 00:00:00.000000000
204,2018-12-21,ERX,17.0,0.25,28 days 00:00:00.000000000
205,2018-12-21,ERX,17.5,0.3,28 days 00:00:00.000000000
206,2018-12-21,ERX,18.0,0.4,28 days 00:00:00.000000000
207,2018-12-21,ERX,18.5,0.45,28 days 00:00:00.000000000
208,2018-12-21,ERX,19.0,0.5,28 days 00:00:00.000000000
209,2018-12-21,ERX,19.5,0.6,28 days 00:00:00.000000000
210,2018-12-21,ERX,20.0,0.7,28 days 00:00:00.000000000
211,2018-12-21,ERX,20.5,0.85,28 days 00:00:00.000000000
212,2018-12-21,ERX,21.0,0.95,28 days 00:00:00.000000000
213,2018-12-21,ERX,21.5,1.1,28 days 00:00:00.000000000
214,2018-12-21,ERX,22.0,1.3,28 days 00:00:00.000000000
215,2018-12-21,ERX,22.5,1.5,28 days 00:00:00.000000000
216,2018-12-21,ERX,23.0,1.7,28 days 00:00:00.000000000
217,2018-12-21,ERX,23.5,1.95,28 days 00:00:00.000000000
218,2018-12-28,ERX,15.0,0.2,35 days 00:00:00.000000000
219,2018-12-28,ERX,16.0,0.2,35 days 00:00:00.000000000
220,2018-12-28,ERX,16.5,0.25,35 days 00:00:00.000000000
221,2018-12-28,ERX,17.0,0.3,35 days 00:00:00.000000000
222,2018-12-28,ERX,17.5,0.4,35 days 00:00:00.000000000
223,2018-12-28,ERX,18.0,0.45,35 days 00:00:00.000000000
224,2018-12-28,ERX,18.5,0.5,35 days 00:00:00.000000000
225,2018-12-28,ERX,19.0,0.6,35 days 00:00:00.000000000
226,2018-12-28,ERX,20.0,0.8,35 days 00:00:00.000000000
227,2018-12-28,ERX,21.0,1.1,35 days 00:00:00.000000000
228,2018-12-28,ERX,21.5,1.25,35 days 00:00:00.000000000
229,2018-12-28,ERX,22.0,1.45,35 days 00:00:00.000000000
230,2018-12-28,ERX,22.5,1.65,35 days 00:00:00.000000000
231,2018-12-28,ERX,23.0,1.85,35 days 00:00:00.000000000
232,2018-12-28,ERX,23.5,2.1,35 days 00:00:00.000000000
233,2019-01-04,ERX,15.5,0.25,42 days 00:00:00.000000000
234,2019-01-04,ERX,16.0,0.3,42 days 00:00:00.000000000
235,2019-01-04,ERX,16.5,0.35,42 days 00:00:00.000000000
236,2019-01-04,ERX,17.0,0.4,42 days 00:00:00.000000000
237,2019-01-04,ERX,17.5,0.45,42 days 00:00:00.000000000
238,2019-01-04,ERX,18.0,0.55,42 days 00:00:00.000000000
239,2019-01-04,ERX,18.5,0.6,42 days 00:00:00.000000000
240,2019-01-04,ERX,19.0,0.7,42 days 00:00:00.000000000
241,2019-01-04,ERX,19.5,0.85,42 days 00:00:00.000000000
242,2019-01-04,ERX,20.0,0.95,42 days 00:00:00.000000000
243,2019-01-04,ERX,20.5,1.15,42 days 00:00:00.000000000
244,2019-01-04,ERX,21.0,1.25,42 days 00:00:00.000000000
245,2019-01-04,ERX,21.5,1.4,42 days 00:00:00.000000000
246,2019-01-04,ERX,22.0,1.6,42 days 00:00:00.000000000
247,2019-01-04,ERX,22.5,1.8,42 days 00:00:00.000000000
248,2019-01-04,ERX,23.0,2.0,42 days 00:00:00.000000000
249,2019-01-04,ERX,23.5,2.25,42 days 00:00:00.000000000
250,2019-01-11,ERX,16.0,0.35,49 days 00:00:00.000000000
251,2019-01-11,ERX,16.5,0.45,49 days 00:00:00.000000000
252,2019-01-11,ERX,17.0,0.5,49 days 00:00:00.000000000
253,2019-01-11,ERX,17.5,0.6,49 days 00:00:00.000000000
254,2019-01-11,ERX,18.0,0.65,49 days 00:00:00.000000000
255,2019-01-11,ERX,18.5,0.75,49 days 00:00:00.000000000
256,2019-01-11,ERX,19.0,0.85,49 days 00:00:00.000000000
257,2019-01-11,ERX,19.5,0.95,49 days 00:00:00.000000000
258,2019-01-11,ERX,20.0,1.1,49 days 00:00:00.000000000
259,2019-01-11,ERX,20.5,1.2,49 days 00:00:00.000000000
260,2019-01-11,ERX,21.0,1.4,49 days 00:00:00.000000000
261,2019-01-11,ERX,21.5,1.55,49 days 00:00:00.000000000
262,2019-01-11,ERX,22.0,1.75,49 days 00:00:00.000000000
263,2019-01-11,ERX,22.5,1.95,49 days 00:00:00.000000000
264,2019-01-11,ERX,23.0,2.2,49 days 00:00:00.000000000
265,2019-01-11,ERX,23.5,2.45,49 days 00:00:00.000000000
266,2019-01-18,ERX,15.0,0.45,56 days 00:00:00.000000000
267,2019-01-18,ERX,20.0,1.25,56 days 00:00:00.000000000
268,2019-01-18,ERX,22.0,1.9,56 days 00:00:00.000000000
269,2019-01-18,ERX,23.0,2.4,56 days 00:00:00.000000000
270,2019-02-15,ERX,13.0,0.35,84 days 00:00:00.000000000
271,2019-02-15,ERX,14.0,0.45,84 days 00:00:00.000000000
272,2019-02-15,ERX,15.0,0.55,84 days 00:00:00.000000000
273,2019-02-15,ERX,16.0,0.7,84 days 00:00:00.000000000
274,2019-02-15,ERX,17.0,0.9,84 days 00:00:00.000000000
275,2019-02-15,ERX,18.0,1.1,84 days 00:00:00.000000000
276,2019-02-15,ERX,19.0,1.35,84 days 00:00:00.000000000
277,2019-02-15,ERX,20.0,1.65,84 days 00:00:00.000000000
278,2019-02-15,ERX,21.0,2.0,84 days 00:00:00.000000000
279,2019-02-15,ERX,22.0,2.4,84 days 00:00:00.000000000
280,2019-02-15,ERX,23.0,2.85,84 days 00:00:00.000000000
281,2019-04-18,ERX,15.0,1.05,146 days 00:00:00.000000000
282,2019-04-18,ERX,18.0,2.0,146 days 00:00:00.000000000
283,2019-04-18,ERX,19.0,2.1,146 days 00:00:00.000000000
284,2019-04-18,ERX,20.0,2.65,146 days 00:00:00.000000000
285,2019-04-18,ERX,21.0,2.85,146 days 00:00:00.000000000
286,2019-04-18,ERX,22.0,3.3,146 days 00:00:00.000000000
287,2019-04-18,ERX,23.0,3.8,146 days 00:00:00.000000000
409,2018-12-21,USD,25.0,0.7,28 days 00:00:00.000000000
410,2018-12-21,USD,26.0,0.6,28 days 00:00:00.000000000
411,2018-12-21,USD,27.0,0.35,28 days 00:00:00.000000000
412,2018-12-21,USD,28.0,0.5,28 days 00:00:00.000000000
413,2018-12-21,USD,29.0,0.9,28 days 00:00:00.000000000
414,2018-12-21,USD,30.0,1.1,28 days 00:00:00.000000000
415,2018-12-21,USD,31.0,1.35,28 days 00:00:00.000000000
416,2018-12-21,USD,32.0,1.85,28 days 00:00:00.000000000
417,2018-12-21,USD,33.0,2.25,28 days 00:00:00.000000000
418,2018-12-21,USD,34.0,2.7,28 days 00:00:00.000000000
419,2019-01-18,USD,20.0,1.1,56 days 00:00:00.000000000
420,2019-01-18,USD,21.0,1.15,56 days 00:00:00.000000000
421,2019-01-18,USD,22.0,1.2,56 days 00:00:00.000000000
422,2019-01-18,USD,23.0,2.15,56 days 00:00:00.000000000
423,2019-01-18,USD,24.0,2.1,56 days 00:00:00.000000000
424,2019-01-18,USD,25.0,1.15,56 days 00:00:00.000000000
425,2019-01-18,USD,26.0,1.2,56 days 00:00:00.000000000
426,2019-01-18,USD,27.0,1.05,56 days 00:00:00.000000000
427,2019-01-18,USD,28.0,1.3,56 days 00:00:00.000000000
428,2019-01-18,USD,29.0,1.55,56 days 00:00:00.000000000
429,2019-01-18,USD,30.0,2.0,56 days 00:00:00.000000000
430,2019-01-18,USD,31.0,2.35,56 days 00:00:00.000000000
431,2019-01-18,USD,32.0,2.7,56 days 00:00:00.000000000
432,2019-01-18,USD,33.0,3.0,56 days 00:00:00.000000000
433,2019-01-18,USD,34.0,3.4,56 days 00:00:00.000000000
434,2019-02-15,USD,20.0,2.2,84 days 00:00:00.000000000
435,2019-02-15,USD,24.0,1.0,84 days 00:00:00.000000000
436,2019-02-15,USD,25.0,1.35,84 days 00:00:00.000000000
437,2019-02-15,USD,26.0,1.35,84 days 00:00:00.000000000
438,2019-02-15,USD,27.0,1.55,84 days 00:00:00.000000000
439,2019-02-15,USD,28.0,2.1,84 days 00:00:00.000000000
440,2019-02-15,USD,29.0,2.1,84 days 00:00:00.000000000
441,2019-02-15,USD,30.0,2.35,84 days 00:00:00.000000000
442,2019-02-15,USD,31.0,2.95,84 days 00:00:00.000000000
443,2019-02-15,USD,32.0,3.1,84 days 00:00:00.000000000
444,2019-02-15,USD,33.0,3.6,84 days 00:00:00.000000000
445,2019-02-15,USD,34.0,3.6,84 days 00:00:00.000000000
446,2019-05-17,USD,20.0,2.2,175 days 00:00:00.000000000
447,2019-05-17,USD,25.0,2.65,175 days 00:00:00.000000000
448,2019-05-17,USD,30.0,4.3,175 days 00:00:00.000000000
449,2019-05-17,USD,31.0,4.6,175 days 00:00:00.000000000
450,2019-05-17,USD,32.0,6.1,175 days 00:00:00.000000000
451,2019-05-17,USD,33.0,5.1,175 days 00:00:00.000000000
452,2019-05-17,USD,34.0,6.0,175 days 00:00:00.000000000
